"fecha","puesto","puntos","nombre","id","club","federacion"
"2024-02-12 09:03:33.366536","30","72.5","TORRES MORENO, ANTONIO","15001460","IVAN LEAL","MAD"
"2024-02-12 09:03:33.366839","30","72.5","TANEV, JULIAN PLAMENOV","13004903","TOT ESPORT CALVIA","BAL"
"2024-02-12 09:03:33.367139","30","72.5","FERNANDEZ RODRIGUEZ, ROBERTO","3001151","GIMNASIO LINO","AST"
"2024-02-12 09:03:33.367460","33","70.0","GIORGETTI BERMUDEZ, DEREK","5007807","ECHEYDE","CNR"
"2024-02-12 09:03:33.367774","34","67.5","ESTRADA BALLESTEROS, VICTOR","15310343","DASAN CONTACTO","MAD"
"2024-02-12 09:03:33.368084","35","62.5","TORRES BETRIU, ARTUR","9002369","CLUB KARATE SINHUS SPORT","CAT"
"2024-02-12 09:03:33.368405","35","62.5","CORREA PACHECO, ABEL","9005148","KARATE CLUB JUST","CAT"
"2024-02-12 09:03:33.368727","35","62.5","LOPEZ LORES, HUGO","14003734","CLUB FEDERACIÓN RIOJANA DE KARATE","RIO"
"2024-02-12 09:03:33.369028","38","60.0","GALAN CUENCA, RUBEN","15008899","IVAN LEAL","MAD"
"2024-02-12 09:03:33.369332","38","60.0","TAVARES OJEDA, CÉSAR MANUEL DEL VALLE","12105081","HELENOS","GAL"
"2024-02-12 09:03:33.369668","40","55.0","TERNERO FONTDEVILA, RAÚL","9003791","KARATE SENSHI DOJO","CAT"
"2024-02-12 09:03:33.369966","41","50.0","BIDAGUREN IBAÑEZ, GORKA","19005216","SHINGITAI","PVS"
"2024-02-12 09:03:33.370334","41","50.0","VEGA NOVA, ÁLVARO JESÚS","11015343","CENTRO SHOTOKAN DE MERIDA","EXT"
"2024-02-12 09:03:33.370718","41","50.0","FERNÁNDEZ GUTIÉRREZ, ALVARO","3007040","KARATE CORVERA","AST"
"2024-02-12 09:03:33.371083","44","42.5","RODRIGUEZ SASTRE, DAVID","15005821","DASAN CONTACTO","MAD"
"2024-02-12 09:03:33.371444","45","40.0","AHMED AHMED, YUSEF","10000019","CLUB SEPAI","CEU"
"2024-02-12 09:03:33.371919","45","40.0","MENENDEZ ALBOR, DANIEL","3006148","FELIX-SHOTOKAN","AST"
"2024-02-12 09:03:33.372295","47","37.5","RODRIGUEZ SASTRE, JOAQUIN","15005822","DASAN CONTACTO","MAD"
"2024-02-12 09:03:33.372672","47","37.5","CASTILLO ACEDO, EDGARDI A.","4008259","CLUB J.VIDAL","VAL"
"2024-02-12 09:03:33.373030","47","37.5","CORUJO AZNAR, ANGEL","3002849","FELIX-SHOTOKAN","AST"
"2024-02-12 09:03:33.373391","47","37.5","MARTINEZ IBAÑEZ, MANUEL","1002370","C.D. GOJU RYU TORREMOLINOS","AND"
"2024-02-12 09:03:33.373767","47","37.5","TRAPIELLA FERNANDEZ, IGNACIO","3006407","GIMNASIO LINO","AST"
"2024-02-12 09:03:33.374117","52","35.0","LLUCH-ELUM ESCANDELL, JUAN","4007922","KENKYO","VAL"
"2024-02-12 09:03:33.374480","52","35.0","GONZÁLEZ MONTES, HUGO","1004864","C.D. NO-KACHI","AND"
"2024-02-12 09:03:33.374851","54","32.5","SANTOS GONZÁLEZ, JORGE","12004032","RENBU-KAN","GAL"
"2024-02-12 09:03:33.375201","55","30.0","ESCOBAR HIDALGO, IVAN","15003484","DASAN CONTACTO","MAD"
"2024-02-12 09:03:33.375570","56","25.0","GALAN CUENCA, RUBEN","8005459","CLUB FEDERACIÓN DE KARATE DE CASTILLA LEÓN","CAL"
"2024-02-12 09:03:33.375914","56","25.0","NEILA MORA, ADRIAN","15002163","SEIKEN-DO","MAD"
"2024-02-12 09:03:33.376261","56","25.0","FERNANDEZ DEL VALLE, RUBEN","7002304","KARATE CLUB KYOTO","CLM"
"2024-02-12 09:03:33.376628","59","20.0","DÍAZ POLO, ISRAEL","12002909","RENBU-KAN","GAL"
"2024-02-12 09:03:33.376970","60","17.5","GARCÍA RODRÍGUEZ, ADRIÁN","5007837","CLUB KARATE ISA","CNR"
"2024-02-12 09:03:33.377315","61","15.0","PEREA MARTINEZ, CARLOS MANUEL","5007852","GYM SUR STYLO","CNR"
"2024-02-12 09:03:33.377680","61","15.0","FERRER REAL, IVAN","4007735","CLUB DE KARATE LA POBLA DE VALLBONA","VAL"
"2024-02-12 09:03:33.378024","61","15.0","CALVO FERNÁNDEZ, JESUS","13005594","KARATE CLUB ESPADAS","BAL"
"2024-02-12 09:03:33.378503","61","15.0","GOMEZ MARTINEZ, PABLO","15001528","IVAN LEAL","MAD"
"2024-02-12 09:03:33.378849","61","15.0","PASCUAL VILLAR, AITOR","4008026","CLUB DEPORTIVO KYODAI","VAL"
"2024-02-12 09:03:33.379191","61","15.0","IBARRA BALANZATEGUI, JON","19003606","GIMNASIO FITNESS GASTEIZ","PVS"
"2024-02-12 09:03:33.379556","61","15.0","FERNANDEZ MONTEIRO, JOAQUIN","3003829","GIMNASIO LINO","AST"
"2024-02-12 09:03:33.379915","68","13.0","GARRIDO RODRIGUEZ, FRANCISCO","3004909","GIMNASIO LINO","AST"
"2024-02-12 09:03:33.380375","69","12.5","LAFÓN ZAMORA, IKER","18004216","CLUB ESCUELA DEPORTIVA DE HUARTE","NAV"
"2024-02-12 09:03:33.380745","69","12.5","GOMEZ MARTINEZ, PABLO","7005558","C.D. KARATE TOLETVM","CLM"
"2024-02-12 09:03:33.381088","69","12.5","HERNANDEZ NUÑEZ, ADRIAN","2005002","GIMNASIO OPEN","ARG"
"2024-02-12 09:03:33.381448","69","12.5","RUBIO SAN ANTONIO, VICTOR","4004058","CLUB DEPORTIVO KYODAI","VAL"
"2024-02-12 09:03:33.381816","69","12.5","GAINZA FACILA, LUIS","2005330","SOCIEDAD DEPORTIVA SHURIYAMA","ARG"
"2024-02-12 09:03:33.382176","74","10.0","FERNANDEZ GUTIERREZ , ALVARO","3003838","FELIX-SHOTOKAN","AST"
"2024-02-12 09:03:33.382554","74","10.0","CALVERA TONIN, ALEJANDRO","2005158","GIMNASIO ARAGON MAURA","ARG"
"2024-02-12 09:03:33.382887","74","10.0","GUTIERREZ BARQUÍN, AARÓN","3005952","FELIX-SHOTOKAN","AST"
"2024-02-12 09:03:33.383229","74","10.0","GANCEDO MONTESERIN, DANIEL","3007137","ESCUELA DE KARATE MAGADAN","AST"
"2024-02-12 09:03:33.383603","74","10.0","SANTIAGO MARTÍNEZ, HECTOR","7006650","GOJUSHINDO","CLM"
"2024-02-12 09:03:33.383943","74","10.0","NAVARRO GARCIA, ALEJANDRO","2005392","IPPONGYM","ARG"
"2024-02-12 09:03:33.384292","74","10.0","ORTEGA GÓMEZ, LEONARDO","13005595","KARATE CLUB ESPADAS","BAL"
"2024-02-12 09:03:33.384645","74","10.0","ANAYA FLORES, PEDRO","1006310","C.D. KURO OBI","AND"
"2024-02-12 09:03:33.384961","74","10.0","GÓMEZ LIÑARES, RUBÉN","12102968","KARATE-DO CARBALLO","GAL"
"2024-02-12 09:03:33.385268","74","10.0","AKRIDI, FARES","5008351","GYM SUR STYLO","CNR"
"2024-02-12 09:03:33.385599","74","10.0","FLORIDO RAVENTOS, SERGI","9005572","CLUB ESPORTIU EQUIP4","CAT"
